"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-09-28","86.9",-1.50457724643966,6.92746390331757,"Justin Verlander",592743,434378,"field_out","hit_into_play",,,,,14,"Andrelton Simmons grounds out, third baseman Aledmys Diaz to first baseman Yuli Gurriel.  ","R","R","R","LAA","HOU","X",5,"ground_ball",0,1,2019,0.615367147545536,0.5058430915856,0.437702495155851,1.45543443202887,"null","null","null",2,6,"Bot","109.97","163.90",,,"455139",,"190929_030504",3.38031123197129,-126.319876239814,-7.85268154274429,5.81353263999551,23.3983905521059,-25.6606696243554,3.45,1.65,"8","83.4","-14.6",85.9,"2560",5.5,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.9930715754083,"0.052","0.047","0.00",1,0,0,2,49,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2019-09-28","94.0",-1.42714573360076,7.06388139629257,"Justin Verlander",592743,434378,"null","called_strike",,,,,4,"null","R","R","R","LAA","HOU","S","null","null",0,0,2019,-0.619346041131735,1.711555091937,-0.3769505817112,2.46984939493484,"null","null","null",2,6,"Bot","null","null",,,"455139",,"190929_030443",3.99712024033248,-136.398269516253,-9.69951319687997,-8.42972829078902,30.5416394887387,-9.43522237487306,3.5,1.67,"null","null","null",92.6,"2520",5.7,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.8494581291383,"null","null","null","null","null","null","null",49,"1","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2019-09-28","94.8",-1.41885782631409,6.95297963554424,"Justin Verlander",594777,434378,"strikeout","foul_tip",,,,,12,"Kole Calhoun strikes out on a foul tip.  ","R","L","R","LAA","HOU","S",2,"null",1,2,2019,-0.749747565914843,1.96994806169443,0.0237493890439845,3.81871379831607,"null","null","null",1,6,"Bot","null","null",,,"455139",,"190929_030355",5.31879968482035,-137.604252862262,-6.62287711589083,-10.519615350987,33.9893055980196,-6.63116409256682,3.06,1.49,"null","null","null",93,"2618",5.6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.8896587207214,"null","null","0.00",1,0,0,"null",48,"4","4-Seam Fastball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"CU","2019-09-28","80.4",-1.57972149305486,6.72133890148414,"Justin Verlander",594777,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",0,2,2019,0.849187275089418,-1.29149030409682,1.31060186069362,1.96811125369961,"null","null","null",1,6,"Bot","null","null",,,"455139",,"190929_030333",4.75446008337364,-116.802485139575,-1.4281481300491,6.4502268401603,23.5786191084273,-43.4534909385931,2.99,1.5,"null","null","null",78.4,"3012",5.1,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",55.3877991715928,"null","null","null","null","null","null","null",48,"3","Curveball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"FF","2019-09-28","94.6",-1.5962427362696,6.93629760531976,"Justin Verlander",594777,434378,"null","swinging_strike",,,,,1,"null","R","L","R","LAA","HOU","S","null","null",0,1,2019,-0.757987266482224,1.82606267674237,-0.582549734531766,3.01274862412659,"null","null","null",1,6,"Bot","null","null",,,"455139",,"190929_030307",4.19608259389737,-137.184710371618,-8.24027744584094,-10.2292717975924,33.5720885356767,-8.27707920555982,3.06,1.49,"null","null","null",92.5,"2663",5.4,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",55.0588166044362,"null","null","null","null","null","null","null",48,"2","4-Seam Fastball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"CH","2019-09-28","86.2",-1.85159775121109,6.75007780189082,"Justin Verlander",594777,434378,"null","called_strike",,,,,7,"null","R","L","R","LAA","HOU","S","null","null",0,0,2019,-1.41784361611573,1.1881707895955,-0.423554798337862,1.60756791074933,"null","null","null",1,6,"Bot","null","null",,,"455139",,"190929_030247",6.17626931553905,-125.061622505089,-8.23921345101681,-15.9300408632504,25.9859885593335,-18.4292099728491,3.06,1.48,"null","null","null",85.3,"2071",6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.5303636547097,"null","null","null","null","null","null","null",48,"1","Changeup",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SL","2019-09-28","89.7",-1.57149564582069,6.87503402651168,"Justin Verlander",405395,434378,"field_out","hit_into_play",,,,,9,"Albert Pujols lines out to right fielder Kyle Tucker.  ","R","R","R","LAA","HOU","X",9,"line_drive",1,1,2019,0.301418260476664,0.969922533749434,0.672922495774953,1.8600014483294,"null","null","null",0,6,"Bot","178.04","101.46",,,"455139",,"190929_030210",4.86543297390938,-130.277456508944,-8.33289361552161,2.44090945830468,25.0630343446313,-19.931261857725,3.06,1.49,"257","87.1","16.6",88.9,"2576",5.7,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.7906341199677,"0.830","0.770","0.00",1,0,0,4,47,"3","Slider",3,5,3,5,5,3,3,5,"Infield shift","Strategic"
"SL","2019-09-28","87.2",-1.58371133679926,6.90460763412805,"Justin Verlander",405395,434378,"null","called_strike",,,,,2,"null","R","R","R","LAA","HOU","S","null","null",1,0,2019,0.345109615689653,0.69951209982936,0.1359976621844,2.73804260115269,"null","null","null",0,6,"Bot","null","null",,,"455139",,"190929_030130",3.39865100748857,-126.91408675078,-5.22985724502118,3.00573135051787,23.880660473289,-24.0377805914215,3.21,1.56,"null","null","null",86.3,"2603",5.5,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.9746399389058,"null","null","null","null","null","null","null",47,"2","Slider",3,5,3,5,5,3,3,5,"Infield shift","Strategic"
"SL","2019-09-28","85.8",-1.64643804607993,6.98049526690878,"Justin Verlander",405395,434378,"null","ball",,,,,9,"null","R","R","R","LAA","HOU","B","null","null",0,0,2019,0.337579719619942,0.558716610136167,0.65709627690092,1.57969121937262,"null","null","null",0,6,"Bot","null","null",,,"455139",,"190929_030116",4.71256206832089,-124.631995355352,-7.53116534995246,2.58740458142134,22.6889573120931,-25.3324193673073,3.01,1.49,"null","null","null",84.8,"2574",5.6,564813,434378,"455139","493329","514888","649557","608324","502210","545350","663656",54.946339211432,"null","null","null","null","null","null","null",47,"1","Slider",3,5,3,5,5,3,3,5,"Infield shift","Strategic"
"CU","2019-09-28","81.8",-1.7078469348884,6.76686786113118,"Justin Verlander",571718,434378,"strikeout","swinging_strike",,,,,2,"Brian Goodwin strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",2,2,2019,0.678255050859169,-0.789787249478411,0.174289414246429,3.35808346202742,"null","null","null",2,5,"Bot","null","null",,,"455139",,"190929_023514",2.92719697453888,-118.868612822791,0.301610478563382,5.61243282117076,22.1188983817005,-39.6740281314562,3.32,1.52,"null","null","null",80,"2906",5,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.4685518906593,"null","null","0.00",1,0,0,"null",38,"6","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Strategic"
