Month, Region, Zip, Sales Person, Category, Product, Total
Dec,South,15213,Dwight,Paper,Bond-20,1854.95
July,North,15120,Jim,Paper,Bond-40,725.24
Sept,East,15218,Packer,Paper,Bond-30,296.38
Nov,North,15204,Dwight,Paper,Laser-24,1918.63
Feb,South,15214,Jim,Paper,Bond-20,1398.25
Oct,North,15206,Danny,Paper,Bond-30,835.95
Aug,North,15207,Jim,Paper,Card Stock,944.96
Mar,East,15224,Ryan,Paper,Bond-50,2061.28
Dec,East,15222,Michael,Paper,Laser-24,977.42
Oct,East,15224,Dwight,Paper,Bond-40,1810.23
Nov,East,15218,Danny,Copier,S450,1901.46
July,East,15222,Dwight,Paper,Card Stock,1798.76
Oct,East,15218,Pam,Copier,S400,1979.43
May,East,15220,Jim,Paper,Bond-40,1978.43
Mar,East,15219,Dwight,Paper,Bond-40,1216.70
Sept,East,15226,Jim,Paper,Bond-20,783.63
May,East,15226,Dwight,Paper,Bond-30,1325.08
Mar,East,15217,Dwight,Copier,S200,2136.81
Oct,North,15201,Dwight,Paper,Bond-50,181.99
May,North,15201,Michael,Copier,S100,1386.82
June,West,15235,Jim,Copier,S450,2168.24
July,East,15222,Jim,Paper,Bond-20,1485.16
Apr,North,15206,Dwight,Copier,S300,1165.69
June,East,15221,Jim,Copier,S300,823.88
Mar,South,15215,Dwight,Paper,Bond-40,544.70
Feb,North,15203,Jim,Paper,Laser-24,2369.87
Oct,East,15226,Dwight,Copier,S400,378.47
May,East,15218,Packer,Paper,Bond-30,497.54
May,South,15216,Pam,Paper,Bond-50,863.49
Jan,West,15235,Dwight,Paper,Bond-30,1404.81
Sept,West,15232,Michael,Paper,Card Stock,1175.55
June,East,15226,Jim,Copier,S300,823.94
June,East,15224,Dwight,Paper,Bond-30,1577.01
July,South,15215,Jim,Paper,Laser-24,1652.90
Jan,North,15120,Jim,Paper,Laser-24,1079.67
Nov,North,15203,Dwight,Paper,Bond-30,1481.86
Sept,West,15235,Dwight,Paper,Bond-20,411.79
Feb,East,15221,Jim,Paper,Bond-50,1298.35
Jan,East,15222,Jim,Paper,Bond-40,1617.99
May,West,15238,Dwight,Paper,Bond-40,2067.55
June,West,15234,Jim,Paper,Bond-30,166.86
Dec,West,15227,Packer,Paper,Laser-24,111.83
