id,dollar
0,7.11
1,20.05
2,20.05
3,20.05
4,7.13
5,7.13
6,24.0
7,24.0
8,18.1509
9,7.1806
10,7.05
11,8.01
12,9.0906
13,9.07
14,9.07
15,13.0
16,7.1709
17,7.1806
18,7.01
19,7.01
20,211.6009
21,8.01
22,151.16
23,151.16
24,151.16
25,151.16
26,8.06
27,7.0407
28,7.1701
29,22.1006
30,26.11
31,31.0506
32,31.0506
33,31.0506
34,7.1806
35,7.1506
36,31.0506
37,31.0506
38,31.0506
39,7.1506
40,31.0506
41,7.1701
42,11.1
43,10.1
44,77.1902
46,7.1711
47,26.0
48,26.0
49,51.0907
50,17.16
51,17.16
52,7.1506
53,49.1001
54,13.0
55,7.01
56,31.0709
57,31.0709
58,31.0709
59,31.0709
60,31.0709
61,31.0709
62,7.1511
63,31.0709
64,7.0406
65,7.01
66,247.1006
67,247.1006
68,14.0902
69,7.0406
70,69.06
71,7.1701
72,7.0407
73,15.17
74,15.17
75,19.0502
76,19.0502
77,19.0502
78,19.0502
79,8.01
80,7.0406
81,11.1
82,10.1
83,7.1711
84,13.0
85,10.1
86,8.1308
87,14.0901
88,14.0901
89,78.17
90,30.0
91,7.1707
92,8.01
93,76.051
94,12.1006
95,7.1711
96,25.1806
97,247.1005
98,247.1005
99,26.0
100,26.0
101,75.041
102,26.0
103,8.01
104,39.0
105,39.0
106,39.0
107,39.0
108,52.1101
109,52.1101
110,13.0
111,30.0
112,7.1506
113,13.0
114,9.07
115,13.0
116,63.0702
117,247.1006
118,56.0911
119,221.1507
120,7.1506
121,26.0
122,91.0107
123,91.0107
124,7.15
125,26.11
126,35.1
127,31.0
128,164.1704
129,26.11
130,26.11
131,7.1711
132,13.0
133,7.15
134,15.1
135,15.1
136,262.0706
137,16.02
138,13.0
139,55.0
140,13.0
141,7.1406
142,30.1
143,7.1701
145,50.0911
146,7.0
147,7.05
148,26.11
149,39.12
151,13.0
152,7.1511
153,8.01
154,13.0
155,39.0
156,51.0907
157,39.0
158,27.1405
159,39.0
160,26.0
161,26.0
162,7.0508
163,7.1517
164,76.051
165,15.0411
166,15.0411
167,15.0411
168,6.15
169,134.1
170,7.1707
171,13.0
172,13.0
173,7.0407
174,26.11
175,13.0
176,13.0
177,8.1303
178,8.1303
179,8.1303
180,8.1303
181,31.0
182,26.0509
183,29.0
184,29.0
185,29.0
186,8.1303
187,8.1303
188,21.0
190,7.15
191,7.15
192,27.0811
193,8.01
194,14.0902
195,14.0902
196,13.0
197,512.0607
198,512.0607
199,7.1511
200,7.1701
201,5.0
202,47.02
203,47.02
204,7.15
205,26.0
206,120.0
207,120.0
208,26.0
209,120.0
210,120.0
211,7.05
212,26.0
213,27.1405
214,78.17
215,78.17
216,8.01
217,61.0306
218,61.0306
219,53.02
220,53.02
221,13.1
222,26.0
223,26.0
224,7.1408
225,262.0706
226,86.1
227,29.14
228,55.0
229,56.0911
231,8.01
232,30.0
233,30.0
234,14.0901
235,14.0901
236,26.0
238,27.0
239,136.1507
240,136.1507
241,151.16
242,52.0
243,7.01
244,8.01
245,7.05
246,7.1711
247,10.1
248,13.0
249,10.1
250,25.1109
251,26.05
252,26.05
253,26.05
254,7.1711
255,83.0302
256,83.0302
257,83.0302
258,7.1408
259,7.15
260,7.15
261,7.1207
262,7.15
263,8.01
264,10.1
265,13.0
266,21.0
267,7.1711
268,7.1711
269,7.1711
270,8.01
271,25.141
272,7.15
273,11.1
274,15.18
275,15.18
276,15.18
277,7.05
278,26.11
279,8.0302
280,16.02
281,16.02
282,71.0
283,26.11
284,71.0
285,8.1303
286,71.0508
287,71.0508
289,7.0407
290,10.1004
291,8.01
292,10.0305
293,6.19
294,7.15
295,26.11
296,14.08
297,14.08
298,14.08
299,30.1
300,151.16
301,7.1711
302,52.0
303,52.0
304,36.15
305,24.03
306,73.1
307,8.01
308,24.03
309,8.01
310,36.15
311,13.0
312,16.02
313,16.02
314,73.1
315,20.1106
316,20.1106
317,20.1106
318,20.1106
319,7.1711
320,27.1405
321,27.1405
322,17.08
323,17.08
324,9.1
325,31.1
326,7.1711
327,7.05
328,7.05
329,9.1
330,7.1707
331,73.1
332,57.0
333,57.0
334,7.1711
335,8.1303
336,7.1711
337,81.1702
338,81.1702
339,81.1702
340,23.0
341,23.0
342,7.15
343,7.15
344,8.01
345,8.0902
346,106.0806
347,247.1005
348,106.0806
349,26.0
350,12.0906
351,7.15
352,7.1711
353,32.1
354,32.1
355,32.1
356,7.15
357,8.01
358,56.1807
359,39.12
360,29.14
361,7.11
362,13.1702
363,13.1702
364,7.15
365,13.18
366,13.18
367,83.0302
368,7.1506
369,13.0
370,7.1506
371,6.1906
372,7.0406
373,7.0407
374,7.0407
375,7.05
376,12.0906
377,13.0
378,247.1006
379,7.01
380,78.0504
381,31.1307
382,15.02
383,13.0
384,7.05
385,7.15
386,221.1507
387,26.0
388,10.1
389,7.01
390,7.1511
391,31.1308
392,7.15
393,110.1708
394,7.15
395,6.19
396,26.0509
397,7.1707
398,7.15
399,56.0911
400,34.0706
401,34.0706
402,8.01
403,34.0706
404,34.0706
405,34.0706
406,27.15
407,263.0
408,263.0
409,263.0
410,263.0
411,263.0
412,263.0
413,7.15
414,13.0
415,56.1807
416,26.11
417,133.13
418,27.1405
419,133.13
420,49.1
421,79.04
422,79.04
425,13.0
426,53.02
427,53.02
428,26.0
429,21.0
430,21.0
431,7.141
432,14.1
433,13.0
434,26.0
435,10.1
436,38.1
437,7.0407
438,7.0406
439,7.1711
440,59.08
441,59.08
442,211.1
443,79.04
444,10.1
445,11.1
446,11.1
447,13.1
448,8.01
449,13.0
450,13.0
451,7.1408
452,13.0
453,7.15
454,89.0201
455,89.0201
456,34.1301
457,20.1006
458,20.1006
459,7.17
460,20.1006
461,46.18
462,46.18
463,46.18
464,46.18
465,46.18
466,46.18
467,46.18
468,46.18
469,28.1
470,153.0903
471,30.0
472,153.0903
473,13.0
474,63.0702
475,63.0702
477,8.01
478,8.0615
479,8.01
480,79.04
481,9.1611
482,7.1806
483,7.1806
484,7.1506
485,8.17
486,6.1904
487,6.1904
488,15.17
489,15.17
490,13.0
491,14.1
492,14.1
493,9.1
494,7.0407
495,7.0406
496,7.0407
497,14.0202
498,7.1701
499,7.1701
500,14.0202
501,13.0
502,55.081
503,55.081
504,7.1408
505,7.11
506,33.0
507,76.1407
508,76.1407
509,33.0
510,42.08
511,10.1
512,83.0906
513,83.0906
514,10.1
517,26.05
518,26.05
519,6.1702
520,26.05
521,76.1407
522,30.0
523,83.0302
524,93.1
525,93.1
526,42.1
527,7.15
528,6.1906
529,56.0911
530,6.15
531,7.1806
532,7.1806
533,8.1903
534,7.1711
535,7.1506
536,7.15
537,65.0
538,65.0
539,65.0
540,65.0
541,16.0
542,73.1
543,73.1
544,73.1
545,51.1703
546,13.0
547,50.0
548,57.1907
549,57.1907
550,12.0509
551,12.0509
552,23.0
553,11.1
554,13.0
555,23.0
556,13.0
557,77.1902
558,26.0
559,26.0
560,6.09
561,22.1006
562,52.0
563,52.0
564,26.11
565,7.1806
566,73.1
567,7.15
568,13.0
569,8.01
570,26.0
571,26.0
572,100.0
573,100.0
574,30.1311
575,7.13
577,12.0506
578,7.1709
